	filename	date	authors	genres	names	topics	multiple_authors	leader_in_authors	is_written_text	addressed_to_people	regular_occasion	has_major_topic	pattern	year	is_fragment	distorted	full_pattern	token_count	filename_raw	period	period-denser
279	1997.03.06_ельцин_выступление.послание_послание федеральному собранию	1997.03.06	['ельцин']	['выступление', 'послание']	['послание федеральному собранию']	['послание федеральному собранию']	False	True	False	False	True	False	0100	1997	False	False	01001000	16204	1997.03.06_ельцин_выступление.послание_послание-федеральному-собранию.txt	ельцин	ельцин 1996-1999
280	1998.02.17_ельцин_выступление.послание_послание федеральному собранию	1998.02.17	['ельцин']	['выступление', 'послание']	['послание федеральному собранию']	['послание федеральному собранию']	False	True	False	False	True	False	0100	1998	False	False	01001000	17905	1998.02.17_ельцин_выступление.послание_послание-федеральному-собранию.txt	ельцин	ельцин 1996-1999
281	1999.03.30_ельцин_выступление.послание_послание федеральному собранию	1999.03.30	['ельцин']	['выступление', 'послание']	['послание федеральному собранию']	['послание федеральному собранию']	False	True	False	False	True	False	0100	1999	False	False	01001000	24706	1999.03.30_ельцин_выступление.послание_послание-федеральному-собранию.txt	ельцин	ельцин 1996-1999
282	1999.12.31_ельцин_обращение.обращение к гражданам.тв.расшифровка_заявление бориса ельцина_отставка.отставка ельцина	1999.12.31	['ельцин']	['обращение', 'обращение к гражданам', 'тв', 'расшифровка']	['заявление бориса ельцина']	['отставка', 'отставка ельцина']	False	True	False	True	False	True	0101	1999	False	False	01010100	775	1999.12.31_ельцин_обращение.обращение-к-гражданам.тв.расшифровка_заявление-бориса-ельцина_отставка.отставка-ельцина.txt	ельцин	ельцин 1996-1999
283	1999.12.31_путин_выступление_выступление ио президента на расширенном заседании совета безопасности_отставка ельцина	1999.12.31	['путин']	['выступление']	['выступление ио президента на расширенном заседании совета безопасности']	['отставка ельцина']	False	True	False	False	False	True	0100	1999	False	False	01000100	836	1999.12.31_путин_выступление_выступление-ио-президента-на-расширенном-заседании-совета-безопасности_отставка-ельцина.txt	ельцин	ельцин 1996-1999
284	2000.07.08_путин_выступление.послание_послание федеральному собранию	2000.07.08	['путин']	['выступление', 'послание']	['послание федеральному собранию']	['послание федеральному собранию']	False	True	False	False	True	False	0100	2000	False	False	01001000	6294	2000.07.08_путин_выступление.послание_послание-федеральному-собранию.txt	путин 2000-2008	путин 2000-2004
285	2000.11.09_путин_статья_десять лет большому договору_россия германия.международные отношения	2000.11.09	['путин']	['статья']	['десять лет большому договору']	['россия германия', 'международные отношения']	False	True	True	True	False	True	0110	2000	False	False	01100100	1774	2000.11.09_путин_статья_десять-лет-большому-договору_россия-германия.международные-отношения.txt	путин 2000-2008	путин 2000-2004
286	2000.11.09_путин_статья_россия новые восточные перспективы_международные отношения	2000.11.09	['путин']	['статья']	['россия новые восточные перспективы']	['международные отношения']	False	True	True	True	False	True	0110	2000	False	False	01100100	1774	2000.11.09_путин_статья_россия-новые-восточные-перспективы_международные-отношения.txt	путин 2000-2008	путин 2000-2004
287	2001.02.21_путин_выступление_выступление на заседании президиума госсовета_реформа самоуправления	2001.02.21	['путин']	['выступление']	['выступление на заседании президиума госсовета']	['реформа самоуправления']	False	True	False	False	False	True	0100	2001	False	False	01000100	1054	2001.02.21_путин_выступление_выступление-на-заседании-президиума-госсовета_реформа-самоуправления.txt	путин 2000-2008	путин 2000-2004
288	2001.04.03_путин_выступление.послание_послание федеральному собранию copy	2001.04.03	['путин']	['выступление', 'послание']	['послание федеральному собранию copy']	['послание федеральному собранию copy']	False	True	False	False	True	False	0100	2001	False	False	01001000	7627	2001.04.03_путин_выступление.послание_послание-федеральному-собранию.txt	путин 2000-2008	путин 2000-2004
289	2002.04.18_путин_выступление.послание_послание федеральному собранию	2002.04.18	['путин']	['выступление', 'послание']	['послание федеральному собранию']	['послание федеральному собранию']	False	True	False	False	True	False	0100	2002	False	False	01001000	7006	2002.04.18_путин_выступление.послание_послание-федеральному-собранию.txt	путин 2000-2008	путин 2000-2004
290	2003.05.16_путин_выступление.послание_послание федеральному собранию	2003.05.16	['путин']	['выступление', 'послание']	['послание федеральному собранию']	['послание федеральному собранию']	False	True	False	False	True	False	0100	2003	False	False	01001000	7470	2003.05.16_путин_выступление.послание_послание-федеральному-собранию.txt	путин 2000-2008	путин 2000-2004
291	2003.10.17_путин_статья_россия атэс проблемы и перспективы сотрудничества_международные отношения	2003.10.17	['путин']	['статья']	['россия атэс проблемы и перспективы сотрудничества']	['международные отношения']	False	True	True	True	False	True	0110	2003	False	False	01100100	1965	2003.10.17_путин_статья_россия-атэс-проблемы-и-перспективы-сотрудничества_международные-отношения.txt	путин 2000-2008	путин 2000-2004
292	2004.05.26_путин_выступление.послание_послание федеральному собранию	2004.05.26	['путин']	['выступление', 'послание']	['послание федеральному собранию']	['послание федеральному собранию']	False	True	False	False	True	False	0100	2004	False	False	01001000	6452	2004.05.26_путин_выступление.послание_послание-федеральному-собранию.txt	путин 2000-2008	путин 2000-2008
293	2005.04.25_путин_выступление.послание_послание федеральному собранию	2005.04.25	['путин']	['выступление', 'послание']	['послание федеральному собранию']	['послание федеральному собранию']	False	True	False	False	True	False	0100	2005	False	False	01001000	6547	2005.04.25_путин_выступление.послание_послание-федеральному-собранию.txt	путин 2000-2008	путин 2000-2008
294	2005.05.07_путин_статья_уроки победы над нацизмом_международные отношения	2005.05.07	['путин']	['статья']	['уроки победы над нацизмом']	['международные отношения']	False	True	True	True	False	True	0110	2005	False	False	01100100	2382	2005.05.07_путин_статья_уроки-победы-над-нацизмом_международные-отношения.txt	путин 2000-2008	путин 2000-2008
295	2005.11.17_путин_статья_широкие горизонты сотрудничества_международные отношения	2005.11.17	['путин']	['статья']	['широкие горизонты сотрудничества']	['международные отношения']	False	True	True	True	False	True	0110	2005	False	False	01100100	1746	2005.11.17_путин_статья_широкие-горизонты-сотрудничества_международные-отношения.txt	путин 2000-2008	путин 2000-2008
296	2006.03.01_путин_статья_группа восьми на пути к саммиту в спб_международные отношения copy	2006.03.01	['путин']	['статья']	['группа восьми на пути к саммиту в спб']	['международные отношения copy']	False	True	True	True	False	True	0110	2006	False	False	01100100	2019	2006.03.01_путин_статья_группа-восьми-на-пути-к-саммиту-в-спб_международные-отношения.txt	путин 2000-2008	путин 2000-2008
297	2006.05.10_путин_выступление.послание_послание федеральному собранию	2006.05.10	['путин']	['выступление', 'послание']	['послание федеральному собранию']	['послание федеральному собранию']	False	True	False	False	True	False	0100	2006	False	False	01001000	7930	2006.05.10_путин_выступление.послание_послание-федеральному-собранию.txt	путин 2000-2008	путин 2000-2008
298	2006.06.14_путин_статья_шос новая модель успешного международного сотрудничества_международные отношения	2006.06.14	['путин']	['статья']	['шос новая модель успешного международного сотрудничества']	['международные отношения']	False	True	True	True	False	True	0110	2006	False	False	01100100	1151	2006.06.14_путин_статья_шос-новая-модель-успешного-международного-сотрудничества_международные-отношения.txt	путин 2000-2008	путин 2000-2008
299	2006.11.17_путин_статья_атэс принципиальный выбор россии в азиатско тихоокеанском регионе_международные отношения copy	2006.11.17	['путин']	['статья']	['атэс принципиальный выбор россии в азиатско тихоокеанском регионе']	['международные отношения copy']	False	True	True	True	False	True	0110	2006	False	False	01100100	1508	2006.11.17_путин_статья_атэс-принципиальный-выбор-россии-в-азиатско-тихоокеанском-регионе_международные-отношения.txt	путин 2000-2008	путин 2000-2008
300	2006.11.23_путин_через партнерство россии и ес_международные отношения	2006.11.23	['путин']	['статья']	['через партнерство россии и ес']	['международные отношения']	False	True	True	True	False	False	0110	2006	False	False	01100000	920	2006.11.23_путин_через-партнерство-россии-и-ес_международные-отношения.txt	путин 2000-2008	путин 2000-2008
301	2007.03.25_путин_полвека европейской интеграции_международные отношения	2007.03.25	['путин']	['статья']	['полвека европейской интеграции']	['международные отношения']	False	True	True	True	False	False	0110	2007	False	False	01100000	1417	2007.03.25_путин_полвека-европейской-интеграции_международные-отношения.txt	путин 2000-2008	путин 2000-2008
302	2007.04.26_путин_выступление.послание_послание федеральному собранию	2007.04.26	['путин']	['выступление', 'послание']	['послание федеральному собранию']	['послание федеральному собранию']	False	True	False	False	True	False	0100	2007	False	False	01001000	9956	2007.04.26_путин_выступление.послание_послание-федеральному-собранию.txt	путин 2000-2008	путин 2000-2008
303	2008.05.07_медведев_выступление_выступление на церемонии вступления в должность президента_инаугурация.выборы 2008	2008.05.07	['медведев']	['выступление']	['выступление на церемонии вступления в должность президента']	['инаугурация', 'выборы 2008']	False	True	False	False	True	True	0100	2008	False	False	01001100	675	2008.05.07_медведев_выступление_выступление-на-церемонии-вступления-в-должность-президента_инаугурация.выборы-2008.txt	путин 2000-2008	путин 2000-2008
304	2008.05.07_путин_выступление_выступление на церемонии вступления в должность президента_инаугурация.выборы 2008	2008.05.07	['путин']	['выступление']	['выступление на церемонии вступления в должность президента']	['инаугурация', 'выборы 2008']	False	False	False	False	True	True	0000	2008	False	False	00001100	571	2008.05.07_путин_выступление_выступление-на-церемонии-вступления-в-должность-президента_инаугурация.выборы-2008.txt	путин 2000-2008	путин 2000-2008
305	2008.08.26_медведев_выступление.обращение к гражданам.тв_обращение к гражданам_военный конфликт в южной осетии	2008.08.26	['медведев']	['выступление', 'обращение к гражданам', 'тв']	['обращение к гражданам']	['военный конфликт в южной осетии']	False	True	False	True	False	True	0101	2008	False	False	01010100	550	2008.08.26_медведев_выступление.обращение-к-гражданам.тв_обращение-к-гражданам_военный-конфликт-в-южной-осетии.txt	медведев	медведев
306	2008.11.05_медведев_выступление.расшифровка.послание_послание федеральному собранию	2008.11.05	['медведев']	['выступление', 'расшифровка', 'послание']	['послание федеральному собранию']	['послание федеральному собранию']	False	True	False	False	True	False	0100	2008	False	False	01001000	10087	2008.11.05_медведев_выступление.расшифровка.послание_послание-федеральному-собранию.txt	медведев	медведев
307	2009.03.31_медведев_статья_строя российско американские отношения_международные отношения	2009.03.31	['медведев']	['статья']	['строя российско американские отношения']	['международные отношения']	False	True	True	True	False	True	0110	2009	False	False	01100100	849	2009.03.31_медведев_статья_строя-российско-американские-отношения_международные-отношения.txt	медведев	медведев
308	2009.09.10_медведев_статья_россия вперед	2009.09.10	['медведев']	['статья']	['россия вперед']	['россия вперед']	False	True	True	True	False	False	0110	2009	False	False	01100000	4817	2009.09.10_медведев_статья_россия-вперед.txt	медведев	медведев
309	2009.11.12_медведев_выступление.послание_послание федеральному собранию	2009.11.12	['медведев']	['выступление', 'послание']	['послание федеральному собранию']	['послание федеральному собранию']	False	True	False	False	True	False	0100	2009	False	False	01001000	11867	2009.11.12_медведев_выступление.послание_послание-федеральному-собранию.txt	медведев	медведев
310	2009.11.13_медведев_статья_атэс на пути к стабильному безопасному и процветающему сообществу_международные отношения copy	2009.11.13	['медведев']	['статья']	['атэс на пути к стабильному безопасному и процветающему сообществу']	['международные отношения copy']	False	True	True	True	False	True	0110	2009	False	False	01100100	1095	2009.11.13_медведев_статья_атэс-на-пути-к-стабильному-безопасному-и-процветающему-сообществу_международные-отношения.txt	медведев	медведев
311	2009.11.13_медведев_статья_роль россии в переходный период_международные отношения	2009.11.13	['медведев']	['статья']	['роль россии в переходный период']	['международные отношения']	False	True	True	True	False	True	0110	2009	False	False	01100100	867	2009.11.13_медведев_статья_роль-россии-в-переходный-период_международные-отношения.txt	медведев	медведев
312	2010.05.28_медведев_выступление.речь_альтернативы модернизации нет.выступление на встрече партии единая россия_партия единая россия	2010.05.28	['медведев']	['выступление', 'речь']	['альтернативы модернизации нет', 'выступление на встрече партии единая россия']	['партия единая россия']	False	True	False	False	False	True	0100	2010	False	False	01000100	14142	2010.05.28_медведев_выступление.речь_альтернативы-модернизации-нет.выступление-на-встрече-партии-единая-россия_партия-единая-россия.txt	медведев	медведев
