	filename	date	authors	genres	names	topics	multiple_authors	leader_in_authors	is_written_text	addressed_to_people	regular_occasion	has_major_topic
70	1918.03.08_ленин ркпб 7_резолюция.фрагмент_о войне и мире.съезд ркпб 7	1918.03.08	['ленин ркпб 7']	['резолюция', 'фрагмент']	['о войне и мире', 'съезд ркпб 7']	['о войне и мире', 'съезд ркпб 7']	True	False	True	False	True	False
71	1918.03.08_ленин_выступление.фрагмент_вопрос о брестском мире_съезд ркпб 7.брестский мир.1 мировая война	1918.03.08	['ленин']	['выступление', 'фрагмент']	['вопрос о брестском мире']	['съезд ркпб 7', 'брестский мир', '1 мировая война']	False	True	False	False	True	True
72	1918.03.15_ленин.снк_постановление_о ратификации брест литовского мирного договора_брестский мир.1 мировая война	1918.03.15	['ленин', 'снк']	['постановление']	['о ратификации брест литовского мирного договора']	['брестский мир', '1 мировая война']	True	True	True	False	False	True
73	1918.03.16_съезд советов.съезд советов 3_постановление_о перенесении столицы из петрограда в москву	1918.03.16	['съезд советов', 'съезд советов 3']	['постановление']	['о перенесении столицы из петрограда в москву']	['о перенесении столицы из петрограда в москву']	True	False	True	False	False	False
74	1918.04.03_снк_резолюция_в связи с объявлением украинской народной республики	1918.04.03	['снк']	['резолюция']	['в связи с объявлением украинской народной республики']	['в связи с объявлением украинской народной республики']	True	False	True	False	False	False
75	1918.04.05_снк_сообщение_о начале японской интервенции_интервенция	1918.04.05	['снк']	['сообщение']	['о начале японской интервенции']	['интервенция']	True	False	True	False	False	True
76	1918.04.12_ленин.снк_декрет_о памятниках республики	1918.04.12	['ленин', 'снк']	['декрет']	['о памятниках республики']	['о памятниках республики']	True	True	True	False	False	False
77	1918.04.16_ленин снк_декрет_об организации управления почтово телеграфным делом	1918.04.16	['ленин снк']	['декрет']	['об организации управления почтово телеграфным делом']	['об организации управления почтово телеграфным делом']	True	False	True	False	False	False
78	1918.04.22_вцик_декрет_об обязательном обучении военному искусству_срочная служба	1918.04.22	['вцик']	['декрет']	['об обязательном обучении военному искусству']	['срочная служба']	True	False	True	False	False	True
79	1918.04.22_вцик_формула обещания_формула обещания воинов красной армии_срочная служба	1918.04.22	['вцик']	['формула обещания']	['формула обещания воинов красной армии']	['срочная служба']	True	False	False	False	False	True
80	1918.04.22_ленин.сталин_телеграмма_телеграмма съезду советов туркестана о поддержке автономии туркестана на советских началах	1918.04.22	['ленин', 'сталин']	['телеграмма']	['телеграмма съезду советов туркестана о поддержке автономии туркестана на советских началах']	['телеграмма съезду советов туркестана о поддержке автономии туркестана на советских началах']	True	True	True	False	True	False
81	1918.04.26_вцик_обращение_обращение ко всем советам о принятии мер к организации первомая_первомай	1918.04.26	['вцик']	['обращение']	['обращение ко всем советам о принятии мер к организации первомая']	['первомай']	True	False	True	True	False	True
82	1918.04.30_вцик_обращение_обращение к рабочим и крестьянам гражданам рсфср_первомай	1918.04.30	['вцик']	['обращение']	['обращение к рабочим и крестьянам гражданам рсфср']	['первомай']	True	False	True	True	False	True
83	1918.05.06_вцик_предписание.положение_предписание советам руководствоваться положениями ленина	1918.05.06	['вцик']	['предписание', 'положение']	['предписание советам руководствоваться положениями ленина']	['предписание советам руководствоваться положениями ленина']	True	False	True	False	True	False
84	1918.05.13_вцик.моссовет_резолюция_о докладе лениа_внешняя политика	1918.05.13	['вцик', 'моссовет']	['резолюция']	['о докладе лениа']	['внешняя политика']	True	False	True	False	False	True
85	1918.05.13_ленин.снк.вцик_декрет_о чрезвычайных полномочиях наркома по продовольствию	1918.05.13	['ленин', 'снк', 'вцик']	['декрет']	['о чрезвычайных полномочиях наркома по продовольствию']	['о чрезвычайных полномочиях наркома по продовольствию']	True	True	True	False	False	False
86	1918.05.20_вцик_резолюция_резолюция по докладу свердлова_задачи советов в деревне	1918.05.20	['вцик']	['резолюция']	['резолюция по докладу свердлова']	['задачи советов в деревне']	True	False	True	False	True	True
87	1918.05.21_ленин_обращение_к питерским рабочим_организация продотрядов	1918.05.21	['ленин']	['обращение']	['к питерским рабочим']	['организация продотрядов']	False	True	True	True	False	True
88	1918.05.22_цк ркпб.ркпб 7_письмо.циркулярное письмо_об укреплении рядов ркпб	1918.05.22	['цк ркпб', 'ркпб 7']	['письмо', 'циркулярное письмо']	['об укреплении рядов ркпб']	['об укреплении рядов ркпб']	True	False	True	False	False	False
